target_year,n_obs,actual_mean_gdp,predicted_mean_gdp,pred_to_actual_ratio,mean_absolute_percentage_error_pct
2019,166,15698.9605,16351.356,1.0416,7.4379
2020,166,14549.3612,16175.973,1.1118,16.1769
2021,162,17155.0981,15110.892,0.8808,10.3653
2022,160,18048.6179,17148.062,0.9501,10.1974
2023,159,18914.0876,18052.223,0.9544,8.5407
