target_year,n_obs,actual_mean_gdp,predicted_mean_gdp,pred_to_actual_ratio,mean_absolute_percentage_error_pct
2019,166,15698.9605,16288.2886,1.0375,5.3232
2020,166,14549.3612,16049.5348,1.1031,12.8261
2021,162,17155.0981,15069.2341,0.8784,10.4037
2022,160,18048.6179,17634.9951,0.9771,8.2109
2023,159,18914.0876,18432.0746,0.9745,7.6784
