term,coefficient,abs_coefficient
log_gdp_per_capita,1.525062,1.525062
life_expectancy_years,0.032123,0.032123
inflation_pct_clean,0.004403,0.004403
log_population_total,-0.004294,0.004294
internet_users_pct_clean,-0.001536,0.001536
unemployment_pct_clean,0.000519,0.000519
