term,coefficient,abs_coefficient
log_gdp_per_capita,1.531558,1.531558
life_expectancy_years,0.020812,0.020812
log_population_total,-0.0,0.0
inflation_pct_clean,0.0,0.0
unemployment_pct_clean,0.0,0.0
internet_users_pct_clean,0.0,0.0
