Dataset,Model,MAE,RMSE,MAPE_pct,R_squared,n_predictions,n_countries_modeled
Population,LogHolt,70265.27081006327,316547.7427432141,0.5801231189151959,0.9999919749994245,11905,217
Population,Naive,394477.9941201176,1553769.6765708858,1.8174082103786273,0.9998066518979725,11905,217
Population,AutoReg,332215.6802607092,17731380.43345741,7.5644404370166285,0.974820231903034,11905,217
