country_name,country_code,wb_region,feature_year,target_year,actual_gdp_next_year,pred_ols,pred_ridge,pred_elastic_net,pred_random_forest,pred_xgboost,spec,split
Australia,AUS,East Asia & Pacific,2022,2023,65058.3773,66311.4527,66188.24809026191,66324.94002501297,66198.54091506574,66722.3,Model 2,test
Austria,AUT,Europe & Central Asia,2018,2019,49885.9947,52245.5231,52164.605761449704,52209.69909025419,51192.909527087555,52079.32,Model 2,test
Austria,AUT,Europe & Central Asia,2019,2020,48716.4099,50949.7184,50895.54984410621,50929.50986067019,50420.349240217955,51310.207,Model 2,test
Austria,AUT,Europe & Central Asia,2020,2021,53648.6438,49687.3581,49611.81945298753,49682.32940706875,50660.116882170085,51287.21,Model 2,test
Austria,AUT,Europe & Central Asia,2021,2022,52336.7725,54582.4908,54499.1322493083,54591.28814791775,51646.26973012304,52941.035,Model 2,test
Austria,AUT,Europe & Central Asia,2022,2023,56579.5042,53352.8715,53279.77461052079,53299.41391105679,51484.76457226303,54759.0,Model 2,test
Azerbaijan,AZE,Europe & Central Asia,2018,2019,4805.7537,4939.2322,4995.941882245663,5004.0334924046,5141.549894518878,5742.3535,Model 2,test
Azerbaijan,AZE,Europe & Central Asia,2019,2020,4229.9106,5009.1112,5068.4583921899675,5075.254824783038,5158.485388306807,6016.4653,Model 2,test
Azerbaijan,AZE,Europe & Central Asia,2020,2021,5408.0454,4382.0573,4429.667877678256,4449.680329227341,4489.863475875072,4943.0146,Model 2,test
Azerbaijan,AZE,Europe & Central Asia,2021,2022,7770.5942,5592.4849,5643.467771888888,5666.016779639377,5493.026127230527,6390.5225,Model 2,test
Azerbaijan,AZE,Europe & Central Asia,2022,2023,7133.0284,8060.2904,8131.104406394403,8132.074424687936,7608.886354070248,8705.818,Model 2,test
Burundi,BDI,Sub-Saharan Africa ,2018,2019,234.3106,266.0984,270.2266156722503,270.5047691709359,279.2599359637784,300.50314,Model 2,test
Burundi,BDI,Sub-Saharan Africa ,2019,2020,255.8325,254.2596,258.4846973928664,258.50744874304985,280.2413418829093,269.79294,Model 2,test
Burundi,BDI,Sub-Saharan Africa ,2020,2021,264.9804,278.0158,282.4270239477097,281.935722833538,295.6366439974062,293.12726,Model 2,test
Burundi,BDI,Sub-Saharan Africa ,2021,2022,302.9925,287.4884,291.8127405406816,291.4687786422065,313.8123161785136,295.68842,Model 2,test
Burundi,BDI,Sub-Saharan Africa ,2022,2023,250.6273,329.4772,334.1319101852509,332.854837220838,379.79725940990295,388.74274,Model 2,test
Belgium,BEL,Europe & Central Asia,2018,2019,46716.6227,48479.5789,48441.79145023533,48501.90703336969,49504.634518287814,49337.766,Model 2,test
Belgium,BEL,Europe & Central Asia,2019,2020,45906.2876,47728.7848,47730.53711976394,47776.59068622853,50022.7327239027,49824.6,Model 2,test
Belgium,BEL,Europe & Central Asia,2020,2021,51658.2383,46739.0274,46698.93601837244,46826.752403659426,48399.69112766946,47891.363,Model 2,test
Belgium,BEL,Europe & Central Asia,2021,2022,50605.7497,52640.8693,52605.352433642205,52683.97387518508,51889.43244431752,49209.62,Model 2,test
Belgium,BEL,Europe & Central Asia,2022,2023,55291.4755,51664.2032,51630.08296305367,51630.019911162155,49249.977113781104,49560.59,Model 2,test
