Dataset,Model,MAE,RMSE,MAPE_pct,R_squared,n_predictions,n_countries_modeled
GDP,Naive,962.8992619934905,2472.1791565448807,15.34572599032984,0.9852559145180495,9437,212
GDP,ARIMA,1052.4332874420286,3126.385546891777,32.22106309418388,0.9764200419664439,9437,212
GDP,AutoReg,1779.5434788214886,8641.452571080243,59.978457319759556,0.8198511639493913,9437,212
