country_name,country_code,wb_region,year,year_trend,gdp_per_capita_usd,log_gdp_per_capita,population_total,log_population_total,life_expectancy_years,inflation_pct_clean,unemployment_pct_clean,internet_users_pct_clean,asian_financial_crisis_9798,global_financial_crisis_0809,model_name,target_year,predicted_gdp_next_year,compare_model
Viet Nam,VNM,East Asia & Pacific,2023,63,4323.35031982451,8.371785917661148,100352192.0,18.42419647651564,74.588,3.25289282667662,1.645,78.08,0,0,Model 1,2024,4563.508796177023,Model 1 - OLS
Viet Nam,VNM,East Asia & Pacific,2024,64,4563.508796177023,8.425847079461818,101028253.06860897,18.43091076904002,74.588,3.25289282667662,1.645,80.95432965916676,0,0,Model 1,2025,4811.252522380606,Model 1 - OLS
Viet Nam,VNM,East Asia & Pacific,2025,65,4811.252522380606,8.478712728865027,101708868.68095754,18.437625061552577,74.588,3.25289282667662,1.645,83.8286592521976,0,0,Model 1,2026,5066.516874858287,Model 1 - OLS
Viet Nam,VNM,East Asia & Pacific,2026,66,5066.516874858287,8.530408853556523,102394069.52167282,18.44433935406514,74.588,3.25289282667662,1.645,86.70298884522845,0,0,Model 1,2027,5329.223790793144,Model 1 - OLS
Viet Nam,VNM,East Asia & Pacific,2027,67,5329.223790793144,8.580960876309588,103083886.48090528,18.451053646577698,74.588,3.25289282667662,1.645,89.57731843825928,0,0,Model 1,2028,5599.282073057211,Model 1 - OLS
Viet Nam,VNM,East Asia & Pacific,2028,68,5599.282073057211,8.630393667264975,103778350.65690984,18.457767939090257,74.588,3.25289282667662,1.645,92.45164803129013,0,0,Model 1,2029,5876.587738979906,Model 1 - OLS
Viet Nam,VNM,East Asia & Pacific,2029,69,5876.587738979906,8.678731555943864,104477493.35744639,18.464482231602815,74.588,3.25289282667662,1.645,95.32597762432097,0,0,Model 1,2030,6161.024409838641,Model 1 - OLS
Viet Nam,VNM,East Asia & Pacific,2030,70,6161.024409838641,8.725998342999684,105181346.10119194,18.471196524115378,74.588,3.25289282667662,1.645,98.20030721735182,0,0,Model 1,2031,6452.463737837278,Model 1 - OLS
Viet Nam,VNM,East Asia & Pacific,2031,71,6452.463737837278,8.772217311714487,105889940.61916003,18.477910816627936,74.588,3.25289282667662,1.645,100.0,0,0,Model 1,2032,6750.765867252113,Model 1 - OLS
Viet Nam,VNM,East Asia & Pacific,2032,72,6750.765867252113,8.817411239245398,106603308.8561335,18.484625109140495,74.588,3.25289282667662,1.645,100.0,0,0,Model 1,2033,7055.779926368674,Model 1 - OLS
Viet Nam,VNM,East Asia & Pacific,2033,73,7055.779926368674,8.861602407626622,107321482.9721031,18.491339401653054,74.588,3.25289282667662,1.645,100.0,0,0,Model 1,2034,7367.344546803662,Model 1 - OLS
Viet Nam,VNM,East Asia & Pacific,2034,74,7367.344546803662,8.90481261453226,108044495.34371808,18.498053694165616,74.588,3.25289282667662,1.645,100.0,0,0,Model 1,2035,7685.288406804306,Model 1 - OLS
Viet Nam,VNM,East Asia & Pacific,2035,75,7685.288406804306,8.947063183805188,108772378.56574427,18.504767986678175,74.588,3.25289282667662,1.645,100.0,0,0,Model 1,2036,8009.430795139482,Model 1 - OLS
Viet Nam,VNM,East Asia & Pacific,2036,76,8009.430795139482,8.988374975757058,109505165.45253582,18.511482279190734,74.588,3.25289282667662,1.645,100.0,0,0,Model 1,2037,8339.582192241742,Model 1 - OLS
Viet Nam,VNM,East Asia & Pacific,2037,77,8339.582192241742,9.028768397244395,110242889.03951296,18.518196571703292,74.588,3.25289282667662,1.645,100.0,0,0,Model 1,2038,8675.544865324997,Model 1 - OLS
Viet Nam,VNM,East Asia & Pacific,2038,78,8675.544865324997,9.068263411525674,110985582.58465175,18.52491086421585,74.588,3.25289282667662,1.645,100.0,0,0,Model 1,2039,9017.113474286709,Model 1 - OLS
Viet Nam,VNM,East Asia & Pacific,2039,79,9017.113474286709,9.10687954790411,111733279.56998374,18.531625156728413,74.588,3.25289282667662,1.645,100.0,0,0,Model 1,2040,9364.075685304577,Model 1 - OLS
Viet Nam,VNM,East Asia & Pacific,2023,63,4323.35031982451,8.371785917661148,100352192.0,18.42419647651564,74.588,3.25289282667662,1.645,78.08,0,0,Model 2,2024,4573.8332245417305,Model 2 - Elastic Net
Viet Nam,VNM,East Asia & Pacific,2024,64,4573.8332245417305,8.428106912296151,101028253.06860897,18.43091076904002,74.588,3.25289282667662,1.645,80.95432965916676,0,0,Model 2,2025,4833.026902243099,Model 2 - Elastic Net
Viet Nam,VNM,East Asia & Pacific,2025,65,4833.026902243099,8.48322823819481,101708868.68095754,18.437625061552577,74.588,3.25289282667662,1.645,83.8286592521976,0,0,Model 2,2026,5100.916196616135,Model 2 - Elastic Net
Viet Nam,VNM,East Asia & Pacific,2026,66,5100.916196616135,8.537175448973256,102394069.52167282,18.44433935406514,74.588,3.25289282667662,1.645,86.70298884522845,0,0,Model 2,2027,5377.471460604484,Model 2 - Elastic Net
