Model,Forecast target year,Forecast GDP per capita,Absolute change vs 2023,Growth vs 2023 (%)
Model 1 - OLS,2040,9364.075685304577,5040.725365480067,116.59303532184447
Model 2 - Elastic Net,2040,9722.885108965118,5399.534789140608,124.89237257460513
Model 3 - OLS,2040,6579.972514288532,2256.622194464022,52.19614483046613
