target_year,n_obs,actual_mean_gdp,predicted_mean_gdp,pred_to_actual_ratio,mean_absolute_percentage_error_pct
2019,210,19075.1284,19931.4099,1.0449,6.2177
2020,211,17672.2624,19796.1241,1.1202,15.3677
2021,209,20423.8917,18346.4233,0.8983,9.1505
2022,209,21142.7474,21096.7418,0.9978,8.1525
2023,203,21902.4676,21400.4627,0.9771,7.5241
