target_year,n_obs,actual_mean_gdp,predicted_mean_gdp,pred_to_actual_ratio,mean_absolute_percentage_error_pct
2019,210,19075.1284,19945.608,1.0456,6.2424
2020,211,17672.2624,19810.4279,1.121,15.396
2021,209,20423.8917,18359.086,0.8989,9.1324
2022,209,21142.7474,21111.2876,0.9985,8.154
2023,203,21902.4676,21414.9704,0.9777,7.508
