target_year,n_obs,actual_mean_gdp,predicted_mean_gdp,pred_to_actual_ratio,mean_absolute_percentage_error_pct
2019,210,19075.1284,19556.1861,1.0252,7.005
2020,211,17672.2624,19628.0738,1.1107,15.9836
2021,209,20423.8917,18112.4762,0.8868,9.5974
2022,209,21142.7474,20055.9269,0.9486,8.8983
2023,203,21902.4676,20475.1383,0.9348,8.4862
