target_year,n_obs,actual_mean_gdp,predicted_mean_gdp,pred_to_actual_ratio,mean_absolute_percentage_error_pct
2019,210,19075.1284,19617.184,1.0284,6.9921
2020,211,17672.2624,19645.525,1.1117,16.2088
2021,209,20423.8917,17964.838,0.8796,9.9027
2022,209,21142.7474,20069.914,0.9493,9.2875
2023,203,21902.4676,20628.453,0.9418,8.648
