model,first_forecast_year,target_year,predicted_gdp_first_year,predicted_gdp_target_year,total_growth_pct,cagr_pct,rank_at_target_year
Model 3 - Full,2025,2040,5310.651638091831,18876.72584035716,255.45027478284666,8.822472805880356,1
Model 2 - Extended,2025,2040,5160.462028935614,15878.115671265234,207.6878694627314,7.780623505822359,2
Model 1 - Baseline,2025,2040,5054.133644733915,15456.668728990451,205.82231922369746,7.736933922842004,3
