country_name,country_code,wb_region,feature_year,target_year,actual_gdp_next_year,pred_ols,pred_ridge,pred_elastic_net,pred_random_forest,pred_xgboost,spec,split
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2018,2019,496.6025,526.1858,526.1858168886537,533.2004219773147,514.2634658663196,562.8451,Model 3,test
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2019,2020,510.7871,531.6897,531.6896794781024,539.0064826805204,519.546603270447,569.6196,Model 3,test
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2020,2021,356.4962,545.5479,545.547894236047,551.9114064358503,522.7230618166411,580.4886,Model 3,test
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2021,2022,357.2612,382.1653,382.1653269250109,387.2170469424803,413.13524370845687,412.98264,Model 3,test
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2022,2023,413.7579,385.695,385.6950310785448,392.1431805342131,428.87125994495534,420.39386,Model 3,test
Angola,AGO,Sub-Saharan Africa ,2018,2019,2493.6788,2937.0736,2937.07343556195,2983.8547535881353,2845.784718102887,2961.932,Model 3,test
Angola,AGO,Sub-Saharan Africa ,2019,2020,1759.3562,2562.3924,2562.3922813990994,2610.340507656303,2591.959532725331,2669.6619,Model 3,test
Angola,AGO,Sub-Saharan Africa ,2020,2021,2303.9081,1817.5217,1817.5216934402704,1855.2649059527407,1814.2041206257072,1958.0293,Model 3,test
Angola,AGO,Sub-Saharan Africa ,2021,2022,3682.1132,2368.52,2368.5199344436437,2412.3292644284893,2496.10204793222,2271.516,Model 3,test
Angola,AGO,Sub-Saharan Africa ,2022,2023,2916.1366,3757.3232,3757.322920260652,3822.8474909459183,3341.365946022515,3485.9639,Model 3,test
Albania,ALB,Europe & Central Asia,2018,2019,6069.439,6278.9271,6278.927955862048,6273.8055504072845,6443.685672937862,6709.5103,Model 3,test
Albania,ALB,Europe & Central Asia,2019,2020,6027.9135,6450.8257,6450.826624374039,6451.276147376806,6797.642622943804,7117.1123,Model 3,test
Albania,ALB,Europe & Central Asia,2020,2021,7242.4551,6383.3546,6383.355418617058,6381.25500998869,6504.950645924222,6693.928,Model 3,test
Albania,ALB,Europe & Central Asia,2021,2022,7756.9619,7618.0357,7618.036557210224,7614.11417759521,7654.222705482161,7904.506,Model 3,test
Albania,ALB,Europe & Central Asia,2022,2023,9730.8692,8164.2247,8164.225761108284,8170.837520538514,8485.165761052329,9758.249,Model 3,test
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",2018,2019,45938.6074,47263.0002,47263.00105706984,48174.09556740356,48983.62494742251,48581.38,Model 3,test
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",2019,2020,37991.7493,46008.7319,46008.732951446655,46962.060418925255,48340.660195199096,46984.816,Model 3,test
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",2020,2021,44118.5047,38085.4724,38085.47380596854,38923.94220651163,39752.86555573791,40406.684,Model 3,test
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",2021,2022,50759.7589,43958.359,43958.35762098387,44742.838108523545,44461.41418967834,43542.38,Model 3,test
