algorithm,specs_covered,avg_MAE,avg_RMSE,avg_MAPE_pct,avg_R_squared,best_rank_score
OLS,3,1483.8020999999999,3477.667033333333,9.036633333333333,0.9765666666666667,6.0
Elastic Net,3,1495.7264666666667,3479.188333333333,9.166633333333332,0.9765333333333333,10.0
Ridge,3,1490.9074666666666,3483.9580666666666,9.0837,0.9764666666666667,7.0
Random Forest,3,1660.222,4001.4654666666665,9.747366666666666,0.9689333333333333,36.0
XGBoost,3,1770.4707666666666,4125.9882,10.961766666666668,0.9669,38.0
