split,scale,model,n_obs,MAE,RMSE,MAPE_pct,R_squared
full_sample,level_gdp_usd,Model 3 - Full Fixed Effects,4722,4968.8036,9788.6461,59.516,0.717
full_sample,log_gdp,Model 3 - Full Fixed Effects,4722,0.5251,0.6785,6.6396,0.8079
